dataset,sequences,frames,auc,op50,op75,precision,norm_precision
dtb70,5,877,64.53086853027344,78.86100006103516,50.550968170166016,90.35179901123047,84.04136657714844
uavdt,5,4224,52.11962890625,69.29991912841797,30.852264404296875,73.457763671875,61.85231018066406
visdrone,5,3199,68.16524505615234,86.63391876220703,59.09434509277344,87.20594787597656,86.25184631347656
uav123,5,6641,69.66809844970703,89.70962524414062,44.760887145996094,99.08612060546875,86.02558898925781
cmc_kf_development_v2,20,14941,63.6209602355957,81.12611389160156,46.314613342285156,87.52540588378906,79.54277801513672
