dataset,sequences,frames,auc,op50,op75,precision,norm_precision
dtb70,5,1182,61.26161575317383,76.54168701171875,44.938201904296875,82.30964660644531,72.17381286621094
uavdt,5,4109,71.11483001708984,88.15802001953125,67.13133239746094,89.34236907958984,86.26554870605469
visdrone,5,3703,67.90776062011719,82.33616638183594,69.179931640625,83.63948822021484,82.09835815429688
uav123,5,3317,62.98579788208008,75.28433227539062,66.58124542236328,81.4102554321289,82.64191436767578
development_v1_all,20,12311,65.8175048828125,80.5800552368164,61.95767593383789,84.17543029785156,80.79490661621094
