dataset,sequence,frames,auc,precision,norm_precision
dtb70,StreetBasketball1,241,55.898048400878906,95.43568420410156,51.03734588623047
dtb70,SUP2,133,77.87326049804688,100.0,99.24812316894531
dtb70,SnowBoarding4,109,78.37483215332031,100.0,96.33027648925781
dtb70,SpeedCar2,308,77.48918151855469,100.0,99.67533111572266
dtb70,Sheep1,391,16.67275619506836,16.112531661987305,14.57800579071045
uavdt,S1604,624,79.69322204589844,100.0,92.14743041992188
uavdt,S0102,350,73.03401184082031,97.14286041259766,96.57142639160156
uavdt,S1601,468,88.62433624267578,100.0,100.0
uavdt,S0501,232,37.04844284057617,49.568965911865234,47.41379165649414
uavdt,S1306,2435,77.17414093017578,100.0,95.19507598876953
visdrone,uav0000222_00900_s,1051,14.435232162475586,20.26641273498535,18.078020095825195
visdrone,uav0000238_00001_s,1200,82.6785659790039,100.0,100.0
visdrone,uav0000325_01656_s,346,86.44371032714844,100.0,100.0
visdrone,uav0000072_08448_s,145,70.93595886230469,97.9310302734375,92.4137954711914
visdrone,uav0000239_11136_s,961,85.04534149169922,100.0,100.0
uav123,uav_building2,577,64.52091979980469,72.79029846191406,71.75043487548828
uav123,uav_car12,499,40.776790618896484,73.34669494628906,69.93988037109375
uav123,uav_person3_s,505,80.2357406616211,86.13861083984375,97.42574310302734
uav123,uav_car1_3,1003,48.64455032348633,74.77567291259766,74.77567291259766
uav123,uav_wakeboard2,733,80.75099182128906,100.0,99.31787109375
