dataset,sequence,frames,auc,precision,norm_precision
dtb70,StreetBasketball1,241,39.2807731628418,68.87966918945312,26.556018829345703
dtb70,SUP2,133,78.6251449584961,100.0,99.24812316894531
dtb70,SnowBoarding4,109,77.93795776367188,100.0,95.412841796875
dtb70,SpeedCar2,308,77.504638671875,100.0,99.35064697265625
dtb70,Sheep1,391,15.479233741760254,15.345268249511719,12.276215553283691
uavdt,S1604,624,79.12850952148438,100.0,93.5897445678711
uavdt,S0102,350,75.64625549316406,100.0,99.71428680419922
uavdt,S1601,468,88.16646575927734,100.0,100.0
uavdt,S0501,232,37.13053894042969,50.0,47.41379165649414
uavdt,S1306,2435,76.21785736083984,100.0,93.01847839355469
visdrone,uav0000222_00900_s,1051,14.507725715637207,20.26641273498535,17.982873916625977
visdrone,uav0000238_00001_s,1200,82.65872955322266,100.0,100.0
visdrone,uav0000325_01656_s,346,86.31983947753906,100.0,100.0
visdrone,uav0000072_08448_s,145,70.60755157470703,96.55171966552734,90.3448257446289
visdrone,uav0000239_11136_s,961,84.84217834472656,100.0,100.0
uav123,uav_building2,577,66.39431762695312,76.08319091796875,74.8700180053711
uav123,uav_car12,499,10.010498046875,33.46693420410156,32.66532897949219
uav123,uav_person3_s,505,80.17916107177734,86.13861083984375,97.42574310302734
uav123,uav_car1_3,1003,48.753746032714844,74.77567291259766,74.77567291259766
uav123,uav_wakeboard2,733,80.90690612792969,100.0,99.31787109375
