dataset,sequences,frames,auc,op50,op75,precision,norm_precision
dtb70,5,1182,57.76554870605469,72.09612274169922,43.41984558105469,76.8449935913086,66.56877136230469
uavdt,5,4109,71.25791931152344,88.39143371582031,68.24360656738281,90.0,86.74725341796875
visdrone,5,3703,67.78720092773438,82.06031036376953,70.06218719482422,83.36363220214844,81.66553497314453
uav123,5,3317,57.248924255371094,68.05085754394531,61.810237884521484,74.09288024902344,75.81092834472656
development_v1_all,20,12311,63.51490783691406,77.6496810913086,60.883968353271484,81.07537078857422,77.6981201171875
