dataset,sequences,frames,auc,op50,op75,precision,norm_precision
dtb70,5,877,61.880680084228516,74.80819702148438,48.38338851928711,89.63313293457031,80.4545669555664
uavdt,5,4224,49.98793411254883,67.22759246826172,29.985227584838867,69.77645111083984,60.472572326660156
visdrone,5,3199,69.61724853515625,88.36284637451172,59.55770492553711,89.81944274902344,88.52238464355469
uav123,5,6641,69.50344848632812,89.94473266601562,44.749088287353516,99.16387939453125,85.86939239501953
cmc_kf_development_v2,20,14941,62.747337341308594,80.08584594726562,45.66884994506836,87.09822082519531,78.82972717285156
