dataset,sequences,frames,auc,op50,op75,precision,norm_precision
dtb70,5,1182,61.069026947021484,77.38027954101562,43.833431243896484,82.45056915283203,72.2441635131836
uavdt,5,4109,71.01202392578125,88.30506134033203,67.27667236328125,89.60098266601562,86.31415557861328
visdrone,5,3703,73.46128845214844,90.16674041748047,72.11465454101562,91.31310272216797,89.70954132080078
uav123,5,3317,62.926334381103516,75.69271087646484,66.6563491821289,82.4941635131836,83.1470947265625
development_v1_all,20,12311,67.1171646118164,82.88619995117188,62.47027587890625,86.46470642089844,82.8537368774414
