dataset,sequences,frames,auc,op50,op75,precision,norm_precision
dtb70,5,1182,60.88982391357422,76.81082153320312,43.94826126098633,82.06641387939453,71.78953552246094
uavdt,5,4109,75.21973419189453,93.73609161376953,68.48355865478516,96.84236907958984,90.79691314697266
visdrone,5,3703,67.91416931152344,82.74995422363281,68.55614471435547,83.91534423828125,82.29276275634766
uav123,5,3317,64.83654022216797,77.69158172607422,68.92822265625,83.71680450439453,85.29158020019531
development_v1_all,20,12311,67.21507263183594,82.74711608886719,62.479042053222656,86.63522338867188,82.54269409179688
