dataset,sequences,frames,auc,op50,op75,precision,norm_precision
dtb70,5,1182,60.84737777709961,76.81761932373047,43.78227996826172,81.88790893554688,71.68150329589844
uavdt,5,4109,71.01746368408203,88.30506134033203,67.27667236328125,89.60098266601562,86.31415557861328
visdrone,5,3703,67.87477111816406,82.61202239990234,68.55614471435547,83.77741241455078,82.15483093261719
uav123,5,3317,62.46946334838867,75.21174621582031,66.8166732788086,81.33184051513672,82.78638458251953
development_v1_all,20,12311,65.55226135253906,80.73661804199219,61.607940673828125,84.1495361328125,80.73421478271484
